Code ,Candidate theme 1,Candidate theme 2,
Searcher as conceptual developer,"Searching as art, concepts as materials",,
complex evidence,"Searching as art, concepts as materials",,
Better controlled vocabulary in specialized databases ,"Searching as art, concepts as materials",Interfaces dictate and influence search processes,
Control improves precision ,"Searching as art, concepts as materials",Interfaces dictate and influence search processes,
Differences between MeSH and EMTREE ,"Searching as art, concepts as materials",Interfaces dictate and influence search processes,
Granularity of controlled vocabulary and indexing,"Searching as art, concepts as materials",Interfaces dictate and influence search processes,
challenges in controlled vocabulary,"Searching as art, concepts as materials",,
costs (to precision) of automated indexing ,"Searching as art, concepts as materials",,
subjectivity of searching,"Searching as art, concepts as materials",,
Balancing sensitivity v specificity ,"Searching as art, concepts as materials",,
Prefer to translate by hand rather than using Polyglot ,"Searching as art, concepts as materials",,
"Searching as art, not science","Searching as art, concepts as materials",,
Hospital/federal workplace technology restrictions are a barrier ,Context reveals searcher needs,Interfaces dictate and influence search processes,
Searcher’s labor often does not result in publication,Context reveals searcher needs,,
Searcher as educator/methods expert,Context reveals searcher needs,,
Some types of collaborators are more challenging than others,Context reveals searcher needs,,
constraints in non-academic organizations,Context reveals searcher needs,,
dissemination of evidence synthesis ,Context reveals searcher needs,,
Staying current amidst constant change,Context reveals searcher needs,,
Evidence synthesis often involves revisiting older SRs,Context reveals searcher needs,,
Urgency of COVID-19 searching ,Context reveals searcher needs,,
challenges of working with collaborators,Context reveals searcher needs,,
Accommodating needs of collaborators ,Context reveals searcher needs,,
Culture of sharing in expert searching,Context reveals searcher needs,,
Feeling undervalued ,Context reveals searcher needs,,
communication by vendors of changes,Systematic searching occurs within the information market,Interfaces dictate and influence search processes,
Search must simplified for some platforms,Systematic searching occurs within the information market,Interfaces dictate and influence search processes,
shift to AI may reduce reproducibility ,Systematic searching occurs within the information market,Interfaces dictate and influence search processes,
vendors are responsive,Systematic searching occurs within the information market,Interfaces dictate and influence search processes,
violates search interface conventions,Systematic searching occurs within the information market,Interfaces dictate and influence search processes,
Platforms required despite limitations,Systematic searching occurs within the information market,,
applying pressure to vendors,Systematic searching occurs within the information market,,
Platform vendors are unaccountable to customers,Systematic searching occurs within the information market,,
Some vendors fail to test their workflows ,Systematic searching occurs within the information market,,
Subject-specific platforms disappear ,Systematic searching occurs within the information market,,
all platforms have their limitations,Interfaces dictate and influence search processes,"Searching as art, concepts as materials",
Automation tools require human QC,Interfaces dictate and influence search processes,"Searching as art, concepts as materials",
Visualization of search concepts is better than command-line query builders ,Interfaces dictate and influence search processes,"Searching as art, concepts as materials",
Choice of starting point ,Interfaces dictate and influence search processes,"Searching as art, concepts as materials",
Translation is tedious ,Interfaces dictate and influence search processes,"Searching as art, concepts as materials",Systematic searching occurs within the information market
Challenges of reviving old/abandoned projects ,Interfaces dictate and influence search processes,Context reveals searcher needs,
Citation searching as supplementary method/workaround ,Interfaces dictate and influence search processes,Systematic searching occurs within the information market,
Code editor features,Interfaces dictate and influence search processes,,
Build search in document rather than in interface ,Interfaces dictate and influence search processes,,
Potential of automation tools ,Interfaces dictate and influence search processes,"Searching as art, concepts as materials",
Searcher vs. Collaborator responsibilities vary across organizations ,Interfaces dictate and influence search processes,Context reveals searcher needs,
Core functionality is unreliable ,Interfaces dictate and influence search processes,Systematic searching occurs within the information market,
Metadata export is not aligned across platforms ,Interfaces dictate and influence search processes,Systematic searching occurs within the information market,
Platforms deprioritizing systematic searching ,Interfaces dictate and influence search processes,Systematic searching occurs within the information market,
Poorly executed interface changes ,Interfaces dictate and influence search processes,Systematic searching occurs within the information market,
Available functionality is useful but has poor usability,Interfaces dictate and influence search processes,,
Cognitive load depends on how regularly you search the platform,Interfaces dictate and influence search processes,,
grey lit is particularly challenging,Interfaces dictate and influence search processes,,
Platform isn't designed for systematic searching,Interfaces dictate and influence search processes,,
potentially useful tools that don’t exist yet ,Interfaces dictate and influence search processes,,
Systematic searchers have different needs than other types of searchers,Interfaces dictate and influence search processes,,
Usability is a factor when a source seems optional,Interfaces dictate and influence search processes,,
Clever workarounds when a platform lacks necessary functionality,Interfaces dictate and influence search processes,,
command line query builder model ,Interfaces dictate and influence search processes,,
Importance of control ,Interfaces dictate and influence search processes,,
Important settings can be configured by the admin of your institutional account ,Interfaces dictate and influence search processes,,
Lack of standardization across platforms ,Interfaces dictate and influence search processes,,
Poor usability harms other types of searchers too,Interfaces dictate and influence search processes,,
Architecture of search strategy (single vs multi-line),Interfaces dictate and influence search processes,,
Documenting the search/record-keeping ,Interfaces dictate and influence search processes,,
force of habit,Interfaces dictate and influence search processes,,
Estimating total likely retrieval ,Interfaces dictate and influence search processes,,
exploratory searching techniques ,Interfaces dictate and influence search processes,,
Factors that increase efficiency ,Interfaces dictate and influence search processes,,
Leveraging complementary functionality between 2 platforms,Interfaces dictate and influence search processes,,
Naming conventions for project folders ,Interfaces dictate and influence search processes,,
where i begin my search varies depending on the project,Interfaces dictate and influence search processes,,
Does breadth of coverage increase “noisiness” of results ,N/A - exclude from themes b/c it only appeared in 1 interview,,
Searchers each have different “core” databases,Systematic searching occurs within the information market,"Searching as art, concepts as materials",
"""Cost savings"" from inferior platforms may not be worth it",Systematic searching occurs within the information market,,
Economics and politics of e-resources licensing,Systematic searching occurs within the information market,,
Searcher time is a scarce resource,Systematic searching occurs within the information market,,
exhaustive searching is labor-intensive/time-consuming ,Systematic searching occurs within the information market,,
